first_name,last_name,birth_year,height,weight,salary
Mariana,Bruce,1975,172.113,80.5743,59996
Cristen,McKenzie,1977,189.804,91.9673,59992
Lurette,Richards,2009,159.701,98.5437,59983
Neely,Silverman,1990,185.305,56.552,59980
Betta,Guthrie,1969,196.239,95.8219,59973
Christabel,Jenkins,1976,153.614,63.0231,59971
Margy,Chu,1982,197.937,84.6531,59970
April,Pennington,1951,184.293,60.746,59965
Corinne,Kearney,1991,166.637,61.2601,59956
Krystle,Goldman,1988,166.604,57.6687,59954
Jammie,Camp,2010,159.225,91.47,59954
Zia,Wilkerson,1952,193.399,90.1399,59953
Nelia,Shaw,1972,166.411,83.4913,59950
Kessiah,Church,1954,161.046,77.3551,59943
Sarene,Hubbard,1954,198.378,50.6717,59940
Elberta,Hicks,2002,198.774,73.1174,59940
Daniele,Blake,1972,193.436,63.4317,59937
Devondra,Snow,1961,187.749,64.6742,59937
Maxy,Brandt,1971,187.243,82.7823,59936
Tanhya,Garrett,1989,156.881,63.7764,59936
Olenka,Hicks,2006,153.304,65.0567,59931
Eveline,Bradshaw,1961,177.329,62.1602,59928
Devondra,Meyer,1988,159.118,88.7741,59925
Rae,Holden,1992,195.011,98.297,59921
Therine,Cameron,1951,156.094,92.6096,59920
Zonnya,Glover,1957,174.234,72.9641,59905
Jillene,Rollins,2001,196.202,52.0611,59903
Pammie,Coley,1969,176.461,60.9729,59901
Dorita,Wall,1967,172.762,98.0488,59898
Gretta,Dennis,1963,162.751,53.3279,59897
Marcelia,Chang,1960,180.57,94.2254,59889
Goldarina,Link,1955,176.626,66.4756,59887
Carmella,Hines,1998,183.544,83.2388,59872
Gerrilee,Farmer,1957,165.093,80.9157,59871
Ofelia,Pugh,1969,165.061,96.749,59867
Ulrike,Teague,2008,170.144,69.3675,59866
Rina,Nolan,1991,167.477,74.4893,59864
Tessi,Hinton,1955,157.145,89.2,59860
Datha,Blalock,1955,160.308,50.5026,59854
Kristan,Holder,1963,168.914,59.7928,59854
Jo-Ann,Sharpe,1967,177.175,95.1592,59850
Randa,Bass,1981,150.921,63.5745,59849
Emlynn,Carter,2009,186.327,81.849,59849
Halley,Cummings,2001,156.783,94.8202,59845
Faun,Grant,1998,160.545,61.9602,59843
Madlin,Sanders,2010,164.386,58.5637,59842
Mellisa,Dickson,1956,172.695,72.5902,59840
Cati,Elliott,1966,198.241,57.947,59840
Ailis,Frazier,1972,150.832,60.5997,59837
Almeda,Greer,2010,174.148,81.0318,59837
Devi,Ferguson,1969,192.321,73.4258,59835
Ansley,Tate,1956,178.105,56.8776,59831
Kimberlyn,Singleton,1996,183.501,77.4967,59828
Kassie,Stevenson,1955,196.465,73.0412,59827
Morissa,Peck,1974,153.08,67.468,59826
Rosy,Vincent,1953,197.815,83.1772,59825
Raphaela,Fink,1961,184.581,58.4631,59825
Arlen,Rowe,1972,165.033,89.4227,59823
Appolonia,Collins,1974,152.531,69.8394,59815
Nicola,Barnett,1970,180.775,98.7326,59812
Garland,Smith,1951,153.72,77.4501,59807
Doe,Beard,1993,151.577,65.8594,59805
Adela,Lim,1983,186.781,67.2605,59799
Valencia,Foster,1977,189.65,62.38,59797
Lia,Galloway,1990,168.649,76.9677,59797
Alanna,Sweeney,1967,169.792,83.1682,59793
Alanna,Berman,1990,151.389,83.6437,59784
Giorgia,Bridges,1987,178.757,67.6344,59782
Tina,Kendall,2008,167.478,51.19,59779
Anthe,Church,2006,159.773,81.7011,59777
Zenia,Herring,1971,196.217,52.1936,59770
Eve,Williford,1989,154.377,77.8566,59769
Karel,Dalton,2005,158.794,66.1663,59765
Modesta,Lu,1953,168.77,81.7544,59762
Hedda,Newell,1986,170.389,53.4482,59761
Esmaria,McMahon,1970,192.392,56.1625,59758
Inez,Albright,1976,193.722,77.4438,59753
Brena,Rhodes,2007,169.274,97.4773,59747
Adoree,Phillips,1959,176.776,59.2011,59747
Wilie,Hampton,1966,197.523,57.7276,59745
Gwenore,Cheek,1973,166.309,79.5602,59745
Emilia,Simmons,1955,150.596,99.9276,59732
Xylia,Jordan,1956,150.104,97.899,59728
Almeda,Walter,1992,168.672,76.6774,59726
Lainey,Cassidy,1952,157.442,90.4297,59721
Adorne,Simpson,2001,150.14,76.4791,59719
Dode,Sigmon,1990,197.142,98.7008,59716
Chloe,McBride,1981,157.984,71.6525,59714
Gilberta,Bishop,2006,153.331,80.461,59708
Lizette,Eason,2005,184.146,76.1046,59708
Ashlee,Levin,1981,167.631,94.891,59704
Neille,Norton,1988,159.765,62.2118,59698
Inna,Ingram,2001,179.501,87.9019,59698
Layne,Conway,1982,172.718,93.7935,59697
Eileen,Perkins,1960,187.468,70.9541,59695
Estrellita,Cole,1989,165.334,60.6093,59694
Eleanor,Link,1995,150.073,93.2873,59690
Agata,Bruce,1968,169.019,59.0985,59689
Rennie,Elmore,1978,182.58,96.7897,59680
Korney,Stone,2007,172.209,60.8116,59669
Eleanore,Carter,1994,190.042,96.5219,59668
Carri,Hahn,1965,182.958,77.4621,59650
Phil,Barry,1983,155.616,87.0354,59647
Carley,Knight,1982,154.044,51.9585,59638
Kellie,Fisher,1957,150.576,74.9837,59637
Sammy,Holder,1952,185.217,92.2455,59621
Vyky,McBride,1959,191.585,89.3842,59607
Deloria,Case,1988,187.369,57.8883,59606
Arabele,Moran,1986,184.327,91.448,59605
Liza,Baxter,1998,160.318,56.3034,59603
Helaina,Gentry,2005,161.61,69.8471,59602
Sheela,Gupta,1976,159.139,78.0538,59601
Catarina,Hodge,1997,181.856,82.4205,59597
Pansie,Freeman,1965,184.821,52.0533,59591
Virginia,Durham,1993,164.453,81.2321,59590
Elisabetta,Petersen,1982,165.026,99.6559,59588
Ardelia,Russell,1991,183.755,82.2176,59583
Margot,House,1998,151.903,96.7208,59583
Ivy,Gallagher,1989,165.277,88.713,59578
Avie,Gross,1954,159.219,79.7445,59573
Mireille,Carey,1955,179.07,89.5391,59573
Almeria,Thornton,1989,184.109,67.6254,59573
Lorilee,Kirby,1970,183.692,80.5341,59570
Verine,Norris,2005,154.357,88.7485,59568
Daisi,Hoyle,2005,160.463,55.8004,59567
Ladonna,Silverman,1956,187.212,74.4514,59567
Mollie,Gilliam,1964,185.396,53.8079,59565
Pauline,Webb,2004,152.346,59.4625,59563
Caresa,Higgins,2009,184.545,78.5525,59563
Dorothee,Russell,1963,182.843,65.1098,59555
Luelle,Albright,1996,153.523,99.5449,59554
Katey,Sutton,2005,199.894,54.8903,59537
Toby,Marks,1973,178.91,98.4764,59537
Hettie,Patel,1971,178.732,74.0098,59536
Sally,Riggs,1973,199.557,70.3091,59535
Julina,Cassidy,1986,190.638,68.2023,59534
Carine,Owen,1958,163.915,52.9091,59533
Corrie,Harding,1961,166.817,92.2417,59533
Winonah,Howe,1972,180.753,80.5275,59527
Gerrilee,Dennis,1962,177.882,72.0865,59522
Collie,Waller,1981,168.235,72.7665,59520
Agna,Garrett,1973,180.198,85.535,59520
April,Proctor,1992,151.071,94.7091,59517
Jocelyne,Pritchard,2006,172.327,60.8558,59515
Willamina,Page,2005,184.816,64.9789,59514
Cathrine,Bruce,1962,169.169,58.2549,59510
Maible,Blanton,1981,170.247,59.6271,59505
Kalinda,Boyette,1966,157.746,86.3367,59503
Shirlee,Burnett,1984,190.258,70.0324,59497
Judye,Harrington,1979,156.574,52.3914,59497
Karel,Pickett,1973,171.235,99.879,59496
Amalie,Bishop,1964,173.493,55.2747,59493
Anne-Marie,O'Neal,1974,166.544,74.1116,59492
Xylina,Day,1980,157.25,98.8794,59491
Verla,Meyers,1953,183.277,99.4934,59489
Ulrica,Giles,1959,196.966,68.764,59487
Jenifer,Cook,1950,169.079,95.8881,59485
Letizia,Pace,1994,180.278,54.0315,59485
Martica,Stanley,2001,158.292,69.236,59483
Lydia,Flowers,1982,172.349,92.0987,59482
Avril,Li,1981,192.467,59.069,59478
Vinny,Kuhn,1952,168.043,59.4652,59472
Cyb,Glass,1994,162.118,51.721,59472
Carlee,Sykes,1994,164.869,60.2005,59466
Cloris,York,1982,190.458,85.3903,59460
Cherlyn,Bolton,1974,162.113,58.652,59452
Corrie,Bradford,1998,182.697,51.17,59450
Michal,Young,1995,191.994,69.023,59441
Hattie,Finley,1991,180.016,61.1741,59434
Grete,Kelley,1954,193.655,50.0845,59428
Cordy,Fischer,1979,165.79,83.6445,59426
Christabel,Page,2008,166.491,53.135,59422
Kimberlee,Proctor,2005,153.808,89.2246,59419
Grayce,Cates,2002,163.711,98.8853,59416
Shelby,Ball,1978,186.54,67.7057,59408
Rachele,McFarland,1951,159.514,86.3402,59402
Leone,Flowers,2010,160.939,68.5665,59402
Kristin,Conway,1972,151.367,75.4312,59398
Nevsa,Bass,1956,192.152,54.4718,59390
Gaylene,McLamb,1959,180.232,70.0203,59388
Tatiana,Greenberg,1991,178.538,82.3858,59382
Oralle,Walton,1985,166.14,83.0184,59379
Celka,Terrell,1970,168.352,94.7633,59376
Seline,Hendricks,1969,163.642,86.7147,59370
Maud,Day,2003,188.405,65.3468,59364
Pennie,Park,1952,184.151,90.6887,59364
Scarlett,Teague,1979,156.591,98.1724,59361
Harriot,Wu,1966,178.063,91.8257,59361
Marsiella,Schwartz,1956,157.928,69.2903,59360
