first_name,last_name,birth_year,height,weight,salary
Ronda,Puckett,1958,184.048,56.4334,30007
Martelle,Godwin,1976,154.392,89.6047,30019
Barbaraanne,Jain,1985,171.922,65.2938,30019
Orelle,Gross,1978,167.58,93.6243,30021
Gunilla,Swanson,1953,190.403,98.7692,30026
Sibley,Haynes,1968,188.888,99.9286,30028
Gypsy,Hunter,1989,186.551,70.2059,30033
Annmarie,Weeks,1972,190.987,55.4634,30034
Nonnah,Block,1985,157.85,67.2657,30038
Shelbi,Nguyen,1988,151.96,98.3477,30043
Ibby,Wolfe,1965,155.771,58.5593,30043
Holly-Anne,Ashley,1967,156.094,89.3924,30043
Teresa,Chase,1968,182.698,59.582,30049
Margaux,Cole,1982,181.907,93.2189,30049
Beverly,Tanner,1958,162.643,98.4225,30051
Danell,Kirkland,1976,195.326,67.898,30051
Catrina,Hanna,1976,182.038,65.0866,30051
Winne,Benson,2007,173.771,69.0673,30061
Othelia,Boyette,1955,198.317,82.7106,30063
Doti,Moore,1995,160.748,97.8953,30067
Fernande,Buckley,1958,196.627,63.6256,30070
Alix,Mercer,1988,150.324,89.6835,30074
Alysa,McPherson,1966,159.071,90.1099,30080
Reiko,Washington,2009,159.184,58.5393,30080
Rosalyn,Underwood,1969,170.978,56.2499,30080
Agneta,Richardson,1960,174.486,80.8442,30085
Lida,Parker,1951,162.421,82.4032,30088
Mallorie,Young,1976,173.737,93.1532,30099
Margo,Shore,1991,163.958,89.9583,30102
Dayle,Coley,1961,194.786,87.5127,30102
Linn,Nolan,1976,184.578,85.0975,30102
Dinah,Winters,1972,152.741,77.2329,30104
Alma,Hutchinson,1958,164.122,92.2341,30105
Almeta,Kessler,1966,150.322,93.7223,30109
Eadie,Oliver,1953,151.866,75.1839,30110
Kelly,Fletcher,1997,192.077,90.2506,30121
Rosita,Lucas,1956,188.566,51.9733,30122
Ted,Williamson,1961,193.946,65.9187,30122
Pammi,Walton,1959,178.182,81.188,30123
Ashli,Conrad,1971,189.415,78.5082,30126
Lucky,Cherry,1974,167.709,86.4474,30126
Fredia,Perry,1950,180.26,63.0213,30149
Andromache,Cline,1971,161.892,84.8338,30151
Sue,McKenna,1975,179.418,94.866,30154
Carey,Dodson,2002,167.432,96.9939,30154
Almire,Lowry,1972,191.748,99.3639,30156
Leonora,Patton,2005,156.617,64.067,30164
Thea,Bolton,1969,167.044,51.2619,30174
Cristionna,Blanton,1965,178.95,87.7127,30175
Fayth,Rivera,1988,156.741,99.1001,30177
Guinevere,Sloan,1997,198.519,88.1535,30177
Consuela,Little,2003,185.819,60.2789,30179
Robbyn,Pierce,1958,176.392,58.303,30198
Editha,Rich,2002,180.842,88.4627,30201
Erminia,Maynard,1954,154.342,53.2788,30203
Ladonna,Turner,1993,180.528,86.3527,30208
Reba,Holt,1983,164.512,62.673,30208
Clareta,Peters,1984,160.405,53.684,30208
Simona,Noble,2007,179.423,72.8363,30212
Milena,Snyder,2005,158.355,64.3945,30213
Melly,Fields,1981,157.026,67.6696,30213
Sibyl,Sawyer,1985,171.84,98.3145,30214
Thelma,O'Donnell,1972,165.349,68.2351,30218
Kristen,Burch,1961,154.004,87.5297,30220
Veronique,Choi,1956,163.919,76.5349,30229
Kimberly,Sharp,1980,175.622,60.7895,30230
Isadora,Roy,1959,172.734,66.9618,30239
Margarete,Henderson,1977,160.277,76.4503,30240
Adeline,Poole,1969,175.83,69.122,30245
Missy,Donovan,2001,170.466,96.3895,30247
Gussi,Kumar,1976,170.325,95.9903,30248
Evie,Clarke,1985,182.078,73.6108,30249
Steffi,Heller,1964,176.699,97.104,30252
Norry,Coleman,1994,178.409,75.5487,30253
Carrie,Pace,1959,168.023,93.2907,30257
Marilee,Russell,1970,152.434,68.4002,30261
Dalia,Wong,1972,168.555,77.0119,30262
Lanae,Bowers,2008,154.313,55.3724,30262
Filia,Hull,1983,151.512,82.8315,30263
Hulda,Beatty,1977,161.5,83.6001,30267
Jacquette,Mann,2006,183.024,81.4348,30269
Mirabella,Kelly,1991,177.988,92.4617,30270
Norina,Desai,1998,188.024,93.434,30270
Henka,Gallagher,1985,180.875,52.8965,30271
Karry,Friedman,1961,177.619,93.8267,30272
Felipa,Hong,1994,178.313,57.7222,30273
Sisile,Logan,1977,159.954,60.6993,30274
Kelila,Mercer,1984,198.388,60.3502,30274
Jeana,Haas,1991,171.804,72.3736,30277
Guillemette,Bloom,1964,177.076,74.9919,30284
Pooh,Todd,1967,166.486,66.8001,30285
Roxine,Davenport,2000,197.179,73.361,30288
Bernice,Richardson,1996,152.318,66.4265,30294
Theresina,Kumar,1974,167.654,67.4565,30295
Anet,Turner,1969,174.924,83.7059,30298
Florentia,Weaver,2005,179.708,92.0327,30298
Talyah,Harrell,1956,190.753,77.0035,30300
Amandie,Bullock,1961,161.036,81.5137,30300
Wenona,Koch,2003,196.72,57.5212,30301
Faydra,Coates,1956,170.601,87.2503,30301
Glory,Ferguson,2005,169.086,61.4768,30305
Savina,Fleming,2003,189.773,96.8957,30311
Mirna,Meadows,1984,155.962,89.2202,30312
Jackelyn,Mills,1988,182.65,80.9093,30314
Sileas,Teague,1963,169.976,73.4852,30331
Desiree,Gorman,1977,193.863,75.7123,30332
Andrea,Hardin,1973,163.908,73.8977,30337
Lucila,Vaughan,1989,168.122,65.0966,30341
Rhoda,Sharma,1984,199.1,78.5886,30347
Stormie,Christensen,1995,187.537,64.4385,30350
Jacqueline,O'Connell,1959,196.513,82.4455,30353
Cherey,Taylor,2009,193.537,52.1903,30356
Leora,Rosenthal,1950,184.494,82.4709,30357
Nancee,Starr,1954,151.291,60.4552,30358
Andeee,Bradford,1991,184.053,67.3367,30368
Zorah,Henderson,1989,192.084,77.4448,30368
Oliy,Gordon,1990,170.072,52.4472,30379
Bibbie,Padgett,1975,168.357,74.9837,30379
Constancy,Todd,1970,165.344,83.0627,30383
Denna,Merrill,1995,158.452,95.596,30384
Ettie,Zimmerman,1995,197.381,66.9987,30385
Zita,Allison,1987,192.908,66.6856,30394
Gertrudis,Holder,1986,198.515,96.683,30397
Elspeth,Dickerson,1982,164.002,57.009,30399
Madelina,Riley,2008,162.041,61.952,30401
Gelya,Buckley,1982,159.056,80.864,30403
Floria,Wade,1984,192.977,58.5662,30410
Catlin,Glenn,1989,151.207,93.4888,30412
Minetta,Paul,1997,191.955,60.4695,30415
Ester,Carpenter,2009,185.092,65.0726,30415
Lonee,Padgett,1974,176.868,56.1564,30419
Roxanna,Chan,1965,198.256,78.3125,30423
Riva,Nixon,1998,168.469,81.0014,30423
Zuzana,Britt,1957,154.55,61.6204,30428
Deidre,Rosen,1985,156.784,62.3749,30432
Merla,Allred,1991,178.659,51.1653,30433
Cassey,Pruitt,2007,157.308,61.3466,30437
Vanda,Levin,1987,186.51,74.496,30440
Sephira,Adams,1959,152.377,88.8061,30448
Ree,Bernstein,1955,177.522,60.7532,30448
Yasmin,Nance,1999,157.736,50.6241,30449
Appolonia,Sharma,1952,182.277,63.4818,30449
Mureil,Pennington,1967,198.866,70.2483,30451
Zia,Joyce,1971,162.839,54.2927,30454
Odessa,Stanley,1964,172.834,62.1391,30458
Dolli,Scarborough,1991,172.211,56.3653,30468
Gretna,Boykin,2000,150.76,85.4318,30474
Elnora,Kemp,1954,189.69,62.2452,30475
Lorraine,McPherson,1988,163.81,51.6679,30481
Alfi,Burton,1956,180.633,79.8205,30482
Carley,Bell,1979,197.086,88.4834,30486
Tawnya,Logan,1972,180.116,65.0977,30490
Cecile,Lyons,1975,197.252,84.1105,30490
Joleen,Kane,1979,171.327,53.5584,30491
Marline,Burnett,2009,150.17,92.7454,30496
Lane,Batchelor,1986,197.676,65.9051,30498
Annice,Sykes,1972,174.637,97.341,30512
Kaia,Gates,1952,189.781,73.8618,30517
Melina,Williamson,1989,198.058,51.2366,30517
Ericka,Payne,1987,182.954,86.3036,30520
Brianne,Wu,2007,166.111,76.0463,30520
Alla,Wall,1958,161.189,87.8377,30522
Bonnee,Bennett,1951,157.88,54.9129,30523
Petra,Wade,1956,185.908,77.1996,30525
Bobbie,Steele,1995,173.851,53.7806,30526
Goldarina,Winters,2002,192.246,53.2791,30526
Xylina,Kay,1994,195.8,50.3582,30532
Prudence,Hauser,1959,178.804,61.1826,30536
Wallie,Edwards,1985,161.183,66.0815,30540
Anna-Maria,Rowe,1977,157.416,72.7737,30543
Edwina,Choi,1989,155.718,65.6793,30547
Dyane,Gay,1984,152.805,90.6532,30553
Peri,Stafford,1958,152.391,55.8453,30557
Ayn,Lu,2004,156.629,76.3812,30567
Maisey,Shannon,2003,176.769,74.2288,30568
Christal,Knight,1986,179.092,84.1523,30568
Modestine,Katz,1967,165.236,63.7639,30570
Nanine,Newell,1996,162.64,84.5947,30570
Barbey,Best,1972,164.592,69.0668,30574
Lisa,Marks,1964,170.059,77.4155,30575
Karee,Locklear,1956,185.611,76.9449,30580
Darsie,Reynolds,1998,178.477,74.1184,30583
Laurianne,Rose,1962,194.611,72.0273,30583
Kaleena,Kinney,1969,196.463,97.7691,30584
Kikelia,Nolan,1984,190.59,66.0916,30587
Chloris,Walsh,1961,176.377,69.4132,30596
Chrissie,Kelley,2003,154.56,63.141,30607
Atlante,Gates,1997,175.942,68.7961,30608
Ethelyn,Marks,1991,193.447,58.4335,30615
Buffy,Miller,1989,183.359,61.1969,30616
Meaghan,Jackson,1984,155.326,72.913,30623
Charlot,Donnelly,1988,159.228,90.3019,30625
Faythe,Kerr,1960,194.323,88.6103,30639
Maura,Gross,1986,170.07,73.6582,30641
Tommy,Cummings,1980,170.661,56.1431,30641
Carry,Li,1982,192.988,64.7994,30646
Leese,Shore,1995,170.992,87.6476,30648
Morganica,McFarland,1952,161.17,85.6424,30652
Janka,Adcock,1992,183.949,50.0762,30653
Darell,Guthrie,1977,164.887,60.2576,30655
Ula,Kim,1974,177.254,65.3464,30665
Cacilia,Bean,1963,189.981,54.5868,30668
Bathsheba,Bradley,1987,160.593,61.6832,30674
Kathryne,Patton,1960,158.424,84.4238,30677
Maegan,Hamrick,1988,162.522,63.4435,30679
Queenie,McNeill,1957,185.488,88.0551,30680
Eddy,Houston,1981,193.621,96.1796,30681
Loreen,Pugh,2002,187.65,97.8211,30681
Ruthanne,Cook,2010,173.154,68.0883,30683
Dido,Conway,1976,162.294,65.0596,30684
Cory,Forrest,2002,176.65,71.8775,30684
Amaleta,McKnight,2009,179.848,52.5777,30688
Alverta,Wagner,1963,189.489,57.7568,30692
Violette,Stevens,1990,184.099,50.8518,30694
Libbie,Odom,1970,193.969,60.664,30696
Emlynn,Gilbert,2002,156.985,54.3139,30701
Lorianna,Larson,1976,175.399,94.5689,30702
Starlin,Anderson,1982,186.627,63.2151,30703
Stephine,Pearce,1995,175.078,81.9548,30703
Ally,Logan,1965,155.152,70.2666,30706
Kat,Cheng,2008,152.841,95.6465,30714
Elnore,Song,2009,162.163,86.4806,30714
Lindie,Mayo,1966,176.596,68.0609,30715
Patty,Cheek,1994,150.407,56.7417,30719
Brooks,Reed,1953,173.853,57.1479,30727
Jacquelin,Thornton,2007,159.942,51.6794,30729
Anabella,Haas,1989,177.786,69.9531,30735
Myrtle,Wang,1964,195.01,88.5033,30740
Annadiana,Woods,1974,186.939,86.2,30740
Vickie,Pritchard,1954,167.67,99.6908,30750
Trisha,Johnston,1962,181.211,76.0757,30750
Roslyn,Rodriguez,1973,184.248,76.3393,30753
Krysta,Pritchard,1992,168.205,82.8323,30761
Ilene,Collins,1984,191.697,59.9748,30765
Charleen,Proctor,1983,156.337,51.0587,30766
Sula,Gunter,1991,179.785,59.8399,30768
Vickie,Daniel,1956,193.049,63.0781,30768
Mariellen,Myers,2002,170.556,65.176,30770
Lacey,Mitchell,2010,173.235,76.7593,30774
Nedda,Taylor,1988,168.237,78.6641,30776
Leslie,Nelson,1985,151.801,84.4622,30783
Dina,Church,2010,174.895,58.8253,30787
Barbee,Baxter,1996,199.717,65.0746,30789
Lonee,Winters,1978,177.6,73.7598,30791
Mariele,Lowry,1983,179.422,57.7708,30795
Catha,Shields,1967,189.744,98.1102,30798
Lynn,Porter,2000,197.188,57.64,30810
Colene,Merrill,2005,166.046,70.1283,30812
Nicole,Gibson,1970,185.224,74.2243,30813
Eugenia,Hinton,1965,159.767,98.108,30816
Oona,Stokes,1997,179.384,50.8326,30816
Susanne,Mills,1981,179.35,55.1663,30824
Gertruda,Stone,2000,150.411,98.5494,30827
Waneta,Heller,2009,197.495,68.8522,30828
Lilla,Jiang,1963,186.011,96.8882,30833
Chloe,McPherson,2001,169.704,52.4761,30836
Teddy,Grimes,1967,166.97,50.9835,30838
Marylou,Webster,1951,197.691,93.0413,30847
Linzy,Huang,1970,161.922,68.004,30858
Shelia,Bunn,1978,190.12,93.9969,30867
Suzanne,Lam,2000,168.673,98.0416,30870
Sheryl,Porter,1965,157.26,73.681,30873
Nell,Reed,1953,181.198,67.3769,30877
Chlo,Shapiro,1987,185.456,92.7075,30881
Charlena,Caldwell,1952,162.206,76.3661,30889
Sissy,Warner,1991,193.904,67.9237,30889
Emili,Nichols,1967,181.969,67.971,30895
Ceciley,Walsh,1966,177.826,61.4341,30896
Bonnibelle,Crews,1972,196.392,77.4908,30898
Kelli,Armstrong,1985,173.564,74.4181,30899
Mara,Silver,1968,160.623,86.837,30899
Liv,Lucas,1955,153.152,81.2802,30899
Kacey,Park,1971,196.035,68.407,30900
Fernande,Howell,1988,167.212,66.0207,30902
Eula,Monroe,1961,181.099,96.7006,30906
Kellie,Hawley,1991,179.112,78.6908,30906
Keely,Hubbard,1950,160.341,97.9643,30907
Glennie,Beard,2002,179.651,68.4985,30908
Myrna,Lindsey,1969,151.506,82.2609,30908
Pierette,Hernandez,1993,186.088,50.1812,30915
Sheila-Kathryn,Hatcher,1965,157.704,63.0357,30916
Constance,Dennis,2006,175.119,80.7917,30917
Tillie,Kuhn,1968,186.92,76.0155,30920
Janot,Bowden,2001,151.577,83.9988,30920
Elie,Sanders,1960,168.537,81.0949,30921
Sheilah,Middleton,1985,191.542,68.5598,30922
Bobbe,Bynum,1981,167.398,68.5683,30922
Hermione,Briggs,2002,193.086,85.7963,30924
Hedvige,Davis,1989,168.879,95.7034,30925
Dian,Howard,1978,165.052,77.0675,30931
Susann,Strickland,1976,169.366,68.2006,30936
Cornie,Barnes,1980,188.969,67.9059,30937
Kathe,Moody,1993,198.073,96.5431,30937
Carola,Olson,1976,182.017,77.7423,30937
Adelle,Herndon,1986,199.968,97.9566,30937
Ralina,Garner,1955,164.945,59.0203,30940
Nichole,Stokes,2005,150.677,98.1395,30941
Faunie,Hester,1985,176.587,98.6661,30944
Amalee,Talley,1977,187.535,53.1226,30948
Nerita,Riggs,1989,192.218,94.2892,30950
Violet,Brandon,2007,167.03,55.2875,30957
Neille,O'Brien,2003,150.227,62.591,30960
Nissy,Thornton,1966,188.144,94.0218,30971
Lesley,Stark,1989,182.081,66.3958,30990
Kata,Hoffman,1958,190.358,64.1611,30993
Trixi,Gordon,1956,159.863,92.1286,30993
Nerty,Roy,1954,174.944,51.7732,30994
Elka,Pickett,1966,158.767,75.347,30999
Blisse,Burnett,1971,199.009,61.0119,31012
Sabine,Olson,1957,180.374,76.963,31015
Perrine,Combs,1972,183.933,72.4155,31016
Lenora,O'Brien,1956,154.528,72.8178,31020
Collete,Vogel,1960,162.119,91.929,31021
Mead,Shea,1953,154.397,63.1747,31021
Anet,Merritt,1989,163.151,86.5672,31021
Marinna,Burnette,1963,171.677,79.9671,31023
Merrielle,Weber,1971,150.278,63.9969,31026
Aida,Bruce,1964,187.124,61.0374,31026
Gwennie,Tate,1973,178.052,63.4003,31030
Erinn,Leonard,2007,152.456,52.1532,31031
Sandie,Gregory,1981,180.238,56.6847,31032
Ardine,Dennis,1998,179.77,92.7362,31033
Mallory,Dixon,1960,153.382,56.1372,31034
Sibel,Mayer,2007,168.782,68.3587,31036
Doralyn,Godfrey,1953,189.586,53.6995,31036
Joela,Lynn,1951,154.571,87.9621,31036
Allyson,Wilson,1958,159.738,78.1439,31044
Rosaleen,Hamilton,1979,176.784,55.7992,31047
Joycelin,Barker,2007,176.996,85.1353,31047
Phaidra,Gibbs,1950,181.585,57.6291,31052
Debbie,Blackwell,1994,178.564,74.1551,31058
Bobbie,Hatcher,1961,169.687,57.0703,31059
Martelle,Summers,1974,177.924,79.7642,31071
Gerti,Hauser,1988,178.046,91.7538,31075
Katee,Petersen,2002,168.615,65.6637,31076
Jessa,Hamilton,1983,192.277,83.87,31077
Theresina,Love,1967,154.261,72.6297,31081
Zsa Zsa,McClure,1951,176.786,71.7338,31086
Malva,Evans,1965,176.569,79.0884,31086
Willi,Lindsey,1953,155.719,88.5419,31087
Sephira,Mueller,1974,160.363,82.1119,31090
Libbie,Moon,1977,152.688,67.2631,31092
Moyra,Boyd,1984,154.512,78.9309,31098
Caye,Potter,1972,176.202,83.9043,31100
Marisa,Harvey,1999,197.824,62.2668,31105
Marilin,Pierce,1962,155.073,90.252,31111
Merry,Herring,1961,151.917,76.6158,31112
Lynna,Johnson,1991,184.109,79.7936,31112
Stacey,Sumner,1990,176.982,70.5956,31116
