first_name,last_name,birth_year,height,weight,salary
Rosalyn,Webb,2008,150.238,95.9244,30193
Laurene,Townsend,1954,167.578,60.6835,30239
Adi,Yates,2000,158.981,65.3272,30251
Kellen,Graves,1980,182.148,56.6339,30620
Joyan,Pappas,2004,183.7,62.8739,31765
Marilyn,Berman,1998,185.668,86.8846,32030
Darlene,Stout,1996,163.092,97.2888,32187
Terza,West,1962,180.362,74.5873,32290
Lynnea,Ferguson,1957,169.265,89.9828,32574
Luce,Christian,1967,190.289,65.9734,32608
Dyan,Richards,1970,194.943,52.6079,32666
Sibelle,Adams,1956,181.804,64.3033,33027
Rana,Brennan,1973,155.757,51.2647,33268
Alyda,Maxwell,1973,167.188,61.0892,33302
Mead,Barnett,2004,176.171,81.4192,33337
Adiana,Joyce,1962,191.494,54.5871,33371
Agatha,Nelson,1975,156.649,77.9914,33647
Heidi,Stein,1969,152.962,73.1618,33911
Juliann,Farrell,1974,191.955,97.2784,33916
Willabella,Ward,1970,197.569,92.7326,34189
Felicia,Sloan,1990,187.408,65.9769,34598
Elli,Flowers,1961,167.112,50.4993,34723
Rois,Blair,1983,150.843,85.536,34773
Sue,Lamm,1972,190.976,50.5891,34808
Sidonia,Stevens,2010,168.199,86.4414,35291
Issie,Murray,1977,155.816,59.2665,36425
Gwenneth,Hampton,2004,195.871,82.6776,36667
Marian,Beck,1992,176.84,84.1456,37103
Erina,Forbes,1980,152.095,89.1595,37238
Margy,Woodward,1962,187.803,52.2034,37600
Emelina,Randall,2000,166.219,65.2305,37789
Brooks,Wiley,2002,176.814,59.7985,37881
Marjie,Gentry,2002,172.863,69.0783,38099
Dorris,Huff,1977,165.097,90.8423,38190
Mufi,Hwang,1961,151.054,56.0888,38308
Shandeigh,Hedrick,1996,179.175,89.5677,38505
Marja,McKee,2008,195.024,62.6657,38789
Carole,Whitehead,1982,154.419,98.173,38841
Sibilla,Gibson,1982,167.836,96.9257,38920
Sallyann,Owens,1983,182.193,81.5202,39075
Con,Thompson,1963,160.933,96.1579,39093
Cristi,Prince,2007,183.926,94.5125,39532
Janenna,Jacobs,1963,192.952,74.8323,41285
Lonni,Reynolds,2007,189.315,99.1161,42345
Winne,Oakley,1963,159.199,57.5635,42792
Mariya,Blanton,1958,158.356,97.7449,43050
Colette,Combs,1974,168.2,88.3613,44051
Donielle,Shepherd,2009,158.573,82.0526,44511
Fredi,Austin,1982,151.539,58.5088,45845
Grace,Byrne,1961,196.372,73.2336,45918
Ninon,Robbins,1957,164.968,80.436,46267
Maire,Thomson,2004,152.189,70.3608,46789
Julia,Ray,1951,192.995,93.4501,46818
Carly,Woodward,1997,167.843,76.8241,46840
Ingrid,Church,1981,172.74,84.289,46875
Rhodia,Frederick,2006,196.47,66.7066,46930
Freida,Rankin,1969,188.43,72.6333,46930
Kacy,Kane,1992,177.185,67.8946,47673
Dyna,Thompson,1997,150.006,56.3842,48128
Deeyn,Solomon,1991,175.118,75.0967,48297
Courtenay,Singh,2007,180.28,69.1249,48464
Benni,Leonard,1998,151.808,82.1084,48472
Tabbie,Merrill,1972,163.49,54.816,49343
Leese,Mason,1962,174.151,74.3554,49626
Frannie,Sullivan,1993,167.967,90.3405,49841
Sharline,Huang,1980,160.042,78.3112,50091
Dotty,Ingram,2000,156.728,91.9642,50152
Blanca,McAllister,1965,195.447,54.9807,50217
Valery,Marks,1993,184.496,78.146,51330
Gwenny,Kumar,1992,158.896,62.9778,51488
Beverie,Carver,1978,191.144,87.8638,51790
Jaine,Miller,1976,161.85,77.6578,51852
Eulalie,Tilley,1980,185.359,70.3022,52346
Elonore,Pennington,2010,180.28,90.9732,52499
Belle,Swanson,2008,155.346,92.0441,52585
Ernestine,Blanton,2009,160.126,63.4187,53026
Kacy,Mann,1984,163.991,68.1232,53146
Maureen,Hernandez,2003,168.575,78.0946,53190
Imogene,Robinson,1953,195.521,69.0725,53436
Una,Higgins,1990,173.341,62.2348,53481
Daisey,Gill,1970,197.892,78.6299,53794
Sharia,Paul,2009,154.845,54.0412,54567
Delcine,Foster,2002,184.629,54.4716,54795
Margalit,English,1953,157.961,79.4273,55084
Jerrylee,Dawson,1963,189.91,98.4334,55092
Lenna,Crawford,1999,152.794,98.6843,55245
Ronda,Tucker,1955,198.921,70.499,55972
Karola,Brooks,1959,160.12,93.3209,55975
Danya,George,1989,195.307,58.53,56169
Steffane,Woods,1969,161.791,98.4471,56837
Zola,Curtis,2004,193.277,77.2395,56973
Jorey,Cassidy,2008,181.122,80.9755,57603
Lyndsay,Parks,1974,157.899,84.6386,57990
Chiquita,Morgan,1987,154.541,58.8429,58057
Gwenora,Bullock,1954,163.784,56.9567,58311
Corrina,Gregory,1983,196.549,70.218,58644
Viki,Joyner,1982,161.766,84.8077,59070
Zelda,Herring,1990,171.988,85.6487,59357
Vikky,Howard,2007,175.683,91.8073,59453
Marla,Blanton,1993,159.619,59.4853,59813
