first_name,last_name,birth_year,height,weight,salary
Timothea,Talley,1961,198.044,68.0071,30002
Johanna,Snow,1982,159.149,73.1348,30005
Tobe,Terrell,1966,189.74,88.9158,30006
Sandie,Fleming,1980,183.487,63.5156,30009
Odette,Pittman,1967,199.123,55.3665,30010
Kathlin,Small,2009,165.177,59.4685,30015
Tressa,Willard,1990,171.298,99.4662,30020
Rozanna,Rosen,1951,181.076,86.9997,30029
Mathilda,Hammond,1984,158.01,86.6626,30030
Galina,Freedman,1951,156.044,77.2054,30031
Inesita,Palmer,1998,157.403,96.0445,30031
Dodie,Cates,1968,162.283,68.8363,30033
Celia,Stanton,1950,164.096,86.9626,30035
Rayna,Meyer,1976,151.33,52.9482,30036
Eilis,Nichols,1996,183.039,89.5558,30041
Kylila,Donnelly,1973,155.063,51.1108,30043
Clarine,McCormick,1992,196.51,64.1577,30043
Petronilla,Bartlett,1953,165.285,74.0571,30045
Berget,Cook,1966,197.352,87.5694,30045
Shanie,Grossman,1985,150.924,98.6209,30045
Sherline,Holland,1967,161.442,72.2224,30045
Dolley,Goodman,2009,174.194,54.8589,30054
Klara,Rhodes,1993,165.085,76.3627,30062
Yolanda,Gunter,1989,150.18,57.9509,30065
Hedwig,Pollard,2008,157.799,72.1289,30071
Candy,Mullins,2005,192.813,59.6218,30076
Elsy,Vick,1964,191.943,76.6518,30076
Rivy,Blackwell,1966,195.657,99.1247,30079
Elane,Copeland,2001,164.224,81.6922,30083
Lauryn,Albright,1975,183.789,88.1893,30084
Anitra,Reed,2006,159.831,66.866,30086
Wileen,Sun,1961,176.125,52.5344,30088
Jodi,Sanford,1990,169.537,72.5648,30093
Melisent,Williamson,1972,178.577,66.5548,30094
Elysha,Rodriguez,1967,184.643,78.0868,30099
Martica,Bean,1965,169.559,83.2418,30100
Alie,Harvey,1983,194.394,63.5957,30101
Birgitta,Pearson,1976,153.812,79.2564,30102
Henriette,Donovan,1960,153.362,82.2425,30103
Nicolette,Robertson,1982,162.117,54.3975,30104
Glynnis,Barry,1963,163.451,90.2358,30117
Bambi,Lloyd,1970,162.307,76.9598,30118
Elly,Bartlett,1986,189.012,80.3119,30119
Carolina,Petty,1980,188.341,65.3436,30119
Nissa,Faulkner,2002,188.297,63.4447,30120
Minni,Hull,2003,163.507,72.7036,30126
