first_name,last_name,birth_year,height,weight,salary
Anetta,Katz,1996,178.572,77.015,30033
Rowena,Curry,1979,180.276,56.6248,30044
Bryana,Wilder,2008,177.42,84.6423,30070
Lilian,Kidd,1992,169.938,75.4031,30081
Kettie,Franklin,1997,189.283,68.411,30103
Inger,Wolfe,1974,173.917,61.1995,30107
Marylee,Erickson,1988,187.652,51.5746,30121
Rosy,Gold,2008,150.688,63.8936,30154
Tamera,Winstead,1968,151.27,78.8401,30218
Tracee,Powell,2006,185.153,79.1228,30247
Sile,Cho,2009,151.422,59.1155,30329
Imogen,Teague,1979,150.159,87.3405,30369
Martguerita,Case,1975,176.83,62.4787,30372
Fannie,Kirby,2006,194.379,87.5913,30392
Chicky,Lang,1955,192.144,84.9838,30427
Aggie,McKinney,1981,193.565,85.0634,30449
Tisha,Dean,1959,174.086,76.3426,30451
Concordia,Winstead,1995,185.646,84.1785,30465
Lacie,Newman,1979,196.757,77.7778,30474
Leesa,Duffy,1950,167.646,82.8937,30493
Josi,Newman,1993,194.733,52.3201,30528
Karyn,Mathews,1982,191.606,93.0743,30557
Ashlan,Bowling,1953,187.111,72.6712,30581
Eudora,Zhao,1987,152.188,86.1009,30603
Margret,Mitchell,1956,165.302,62.841,30614
Janeta,Epstein,1960,172.084,50.987,30653
Ranee,Brandon,1995,165.009,59.966,30705
Lida,Khan,1979,175.855,51.0165,30719
Paulina,Meadows,1967,180.26,53.3586,30722
Trina,Jiang,1963,188.617,53.9527,30737
Marcie,Hu,1970,156.141,74.6524,30741
Veradis,Holland,1978,183.342,82.2399,30744
Karyl,Hardison,1982,174.398,63.4988,30799
Kippy,Francis,1967,198.123,53.9183,30810
Ernestine,Kessler,1955,155.484,94.9939,30813
Ettie,Barbee,1975,160.15,92.8332,30819
Cleopatra,Vick,1955,175.724,95.9502,30836
Loella,Summers,1995,188.526,84.0276,30847
Alexis,Nguyen,1996,153.202,80.5959,30860
Reeva,Duffy,2002,195.412,66.1701,30861
Meara,Gold,1963,188.564,63.1558,30896
Hester,Graham,1962,182.116,63.0265,30925
Phil,Bean,2004,158.815,72.7279,30950
Marne,Holt,1966,159.987,76.9876,31006
Janka,King,1975,181.992,59.5308,31133
Dulcie,Archer,1977,151.169,74.4395,31138
Marian,Osborne,1971,165.992,77.4439,31200
Bette-Ann,Hauser,1963,188.795,60.1369,31249
Robinia,Walton,1959,191.578,54.2487,31258
Mina,Ayers,1961,180.335,86.9548,31334
Lurette,Black,1962,195.992,70.7312,31336
Pam,Tucker,1990,179.614,94.6648,31361
Collette,Powers,1985,186.078,84.9017,31390
Sula,Stone,2007,185.018,73.3352,31430
Quintilla,Lim,2004,196.629,55.508,31444
Kaile,Humphrey,1953,158.246,98.5936,31450
Joellyn,Garrison,1970,183.385,50.9012,31456
Auguste,Byrne,1991,174.033,59.177,31468
Rene,Lehman,1992,172.448,52.4273,31510
Stevana,Price,1963,196.509,93.5991,31513
Eada,Sweeney,2008,158.474,58.1933,31560
Cicely,Boone,1959,197.924,79.915,31566
Essie,McDowell,2010,158.761,71.2783,31578
Ajay,Marshall,1953,156.783,57.6516,31582
Olympie,McKenzie,1995,188.536,85.968,31598
Jessika,O'Donnell,2009,160.61,92.1194,31598
Chryste,Epstein,1992,198.18,79.5623,31601
Colline,Chapman,2008,187.684,56.2058,31660
Dee,Owen,1995,158.709,51.868,31705
Eliza,Pitts,2003,168.906,54.9221,31714
Nana,Keith,1953,167.766,74.7945,31715
Sandye,Christensen,1982,188.125,73.5223,31806
Denyse,Hinson,1952,172.129,56.9366,31814
Malena,Stroud,1977,151.334,87.2096,31823
Cornelle,Rice,1990,174.23,81.3527,31839
Janeczka,Bradford,1965,151.624,89.2789,31866
Dorri,Dickinson,1960,185.258,58.9273,31898
